BPI X VAS,-22.47101,-43.8249016667,59,1
BPI X VAS,-22.4056,-43.6654633333,2,18
SJO X ARE,-22.14941,-42.9207,548,1
SJO X ARE,-22.23554,-43.1021766667,453,7
TRS X VAL COM,-22.1153966667,-43.1978466667,158,1
TRS X VAL COM,-22.060115,-43.4355116667,497,12
TRS X VAL COM,-22.0619533333,-43.4400366667,498,13
TRS X VAL COM,-22.075425,-43.5018516667,500,14
TRS X VAL COM,-22.0818433333,-43.552175,501,15
TRS X VAL COM,-22.0871366667,-43.5596383333,502,16
TRS X VAL COM,-22.1108816667,-43.5541966667,503,17
TRS X VAL COM,-22.116685,-43.5594466667,504,18
TRS X VAL COM,-22.1643066667,-43.5852833333,506,19
TRS X VAL COM,-22.17828,-43.5923216667,507,20
TRS X VAL COM,-22.20179,-43.6117133333,508,21
TRS X VAL COM,-22.20998,-43.6297016667,509,22
TRS X VAL COM,-22.0290466667,-43.3802683333,526,11
ALP X MIR,-21.8814833333,-42.6938116667,378,1
ALP X MIR,-21.41608,-42.2016666667,552,7
ALP X MIR,-21.5483166667,-42.1753116667,572,6
ALP X MIR,-21.7457383333,-42.45943,575,4
ALP X MIR,-21.41608,-42.2016666667,552,7
BMA X VAS,-22.5453933333,-44.1693483333,112,1
BMA X VAS,-22.4881216667,-43.915045,88,12
BMA X VAS,-22.476545,-43.9436866667,89,11
BMA X VAS,-22.4848716667,-43.96383,90,10
BMA X VAS,-22.47466,-43.991715,91,9
BMA X VAS,-22.47574,-44.0049266667,92,8
BMA X VAS,-22.5140416667,-44.0984033333,98,5
BMA X VAS,-22.54971,-44.1606733333,106,2
BMA X VAS,-22.5465033333,-44.1550966667,107,3
BMA X VAS,-22.510995,-44.0845716667,108,6
BMA X VAS,-22.5453933333,-44.1693483333,112,1
BMA X VAS,-22.5176233333,-44.1108283333,114,4
BMA X VAS,-22.4808383333,-44.0409116667,118,7
BMA X VAS,-22.4056,-43.6654633333,2,27
